City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
0,ushuaia,AR,44.26,61,40,13.8,-54.8,-68.3,1650666921
1,urumqi,CN,54.55,33,0,4.47,43.801,87.6005,1650666986
2,rikitea,PF,71.29,88,100,7.81,-23.1203,-134.9692,1650666986
3,carutapera,BR,75.96,91,100,4.72,-1.195,-46.02,1650666986
4,port moresby,PG,78.22,83,40,5.75,-9.4431,147.1797,1650666690
5,mataura,NZ,55.47,75,14,5.82,-46.1927,168.8643,1650666914
6,sisimiut,GL,26.4,89,100,6.38,66.9395,-53.6735,1650666987
7,oussouye,SN,78.98,66,44,6.42,12.485,-16.5469,1650667315
8,mahebourg,MU,76.24,69,40,14.97,-20.4081,57.7,1650667316
9,port elizabeth,ZA,61.32,81,0,13.8,-33.918,25.5701,1650667316
10,cape town,ZA,59.41,69,20,19.57,-33.9258,18.4232,1650667316
11,barrow,US,8.62,92,100,5.75,71.2906,-156.7887,1650667317
12,lasa,IT,50.88,97,97,2.91,46.6166,10.7002,1650667317
13,new norfolk,AU,48.92,78,10,3.15,-42.7826,147.0587,1650666922
14,hay river,CA,40.96,38,40,6.91,60.8156,-115.7999,1650666990
15,avarua,CK,80.65,69,75,23.02,-21.2078,-159.775,1650666756
16,palmer,US,61.97,29,20,14.97,42.1584,-72.3287,1650666852
17,iqaluit,CA,13.73,72,75,9.22,63.7506,-68.5145,1650666947
18,busselton,AU,55.8,78,0,11.54,-33.65,115.3333,1650666991
19,kapaa,US,82.38,81,75,12.66,22.0752,-159.319,1650666763
20,ust-kuyga,RU,9.75,95,100,0.38,70.0167,135.6,1650666991
21,nedryhayliv,UA,44.55,84,96,7.45,50.834,33.8763,1650666992
22,lingao,CN,75.9,87,3,4.29,19.9103,109.6859,1650666992
23,hermanus,ZA,55.8,67,35,10.94,-34.4187,19.2345,1650666745
24,butaritari,KI,82.09,74,20,19.39,3.0707,172.7902,1650666754
25,mar del plata,AR,55.42,89,75,14.0,-38.0023,-57.5575,1650666993
26,arraial do cabo,BR,75.81,82,0,8.93,-22.9661,-42.0278,1650666919
27,jawhar,SO,79.88,78,77,8.08,2.7809,45.5005,1650666993
28,makakilo city,US,82.72,52,75,14.97,21.3469,-158.0858,1650666994
29,bluff,NZ,55.8,71,72,28.01,-46.6,168.3333,1650666937
30,elizabeth city,US,73.44,61,0,11.5,36.2946,-76.2511,1650666880
31,moose factory,CA,24.8,74,0,12.66,51.2585,-80.6094,1650666948
32,nzega,RW,56.73,96,99,3.18,-2.479,29.5564,1650666995
33,kaura namoda,NG,92.26,26,46,2.28,12.5898,6.5779,1650666995
34,tuktoyaktuk,CA,17.6,67,20,17.27,69.4541,-133.0374,1650666917
35,nikolskoye,RU,44.8,79,90,4.16,59.7035,30.7861,1650666948
36,severodvinsk,RU,32.11,97,100,15.41,64.5635,39.8302,1650666996
37,mpongwe,ZM,60.73,98,45,4.21,-13.5091,28.155,1650666998
38,cockeysville,US,70.88,37,99,4.41,39.4812,-76.6439,1650666998
39,chokurdakh,RU,9.77,93,100,6.38,70.6333,147.9167,1650666920
40,cidreira,BR,71.37,80,100,15.3,-30.1811,-50.2056,1650666807
41,ust-maya,RU,28.31,81,79,1.05,60.4167,134.5333,1650666999
42,los llanos de aridane,ES,60.55,80,75,4.61,28.6585,-17.9182,1650666999
43,punta arenas,CL,46.51,71,100,3.44,-53.15,-70.9167,1650666911
44,cedar city,US,41.97,75,100,12.66,37.6775,-113.0619,1650666851
45,kaitangata,NZ,54.7,62,56,10.31,-46.2817,169.8464,1650666799
46,tura,IN,69.62,96,8,6.6,25.5198,90.2201,1650666939
47,tasiilaq,GL,33.96,92,100,4.34,65.6145,-37.6368,1650666797
48,north bend,US,63.25,77,0,9.22,43.4065,-124.2243,1650667000
49,yellowknife,CA,45.12,24,20,2.3,62.456,-114.3525,1650666919
50,albany,US,59.41,61,10,8.88,42.6001,-73.9662,1650666943
51,kruisfontein,ZA,58.89,83,100,4.94,-34.0033,24.7314,1650666771
52,karwar,IN,79.95,79,47,3.65,14.8,74.1333,1650667001
53,bilibino,RU,16.29,87,99,2.37,68.0546,166.4372,1650667002
54,east london,ZA,63.91,91,99,10.71,-33.0153,27.9116,1650666741
55,marsh harbour,BS,73.31,65,73,21.9,26.5412,-77.0636,1650666931
56,ostrovnoy,RU,29.01,89,100,12.44,68.0531,39.5131,1650667003
57,shubarshi,KZ,51.75,84,48,7.67,48.5872,57.1869,1650666914
58,kieta,PG,80.31,81,100,0.51,-6.2167,155.6333,1650666958
59,kahului,US,82.42,70,75,21.85,20.8947,-156.47,1650666870
60,castro,BR,60.01,93,8,4.41,-24.7911,-50.0119,1650666806
61,mugur-aksy,RU,22.23,70,1,4.07,50.35,90.5,1650667004
62,hambantota,LK,79.7,81,94,7.18,6.1241,81.1185,1650666950
63,tecoanapa,MX,85.95,56,2,8.25,16.5167,-98.75,1650667004
64,provideniya,RU,33.01,65,20,1.41,64.3833,-173.3,1650666812
65,cabo san lucas,MX,88.11,23,0,14.97,22.8909,-109.9124,1650666944
66,margate,GB,50.88,88,100,5.01,51.3813,1.3862,1650666749
67,buritizeiro,BR,76.21,41,63,2.42,-17.3511,-44.9622,1650667006
68,qaanaaq,GL,5.5,90,100,4.0,77.484,-69.3632,1650666751
69,hofn,IS,44.78,86,11,0.45,64.2539,-15.2082,1650666811
70,sao filipe,CV,73.29,78,1,5.39,14.8961,-24.4956,1650666957
71,mrakovo,RU,41.54,61,16,7.14,52.7161,56.6244,1650667007
72,hithadhoo,MV,84.67,70,100,11.5,-0.6,73.0833,1650666823
73,christchurch,NZ,60.33,67,71,4.61,-43.5333,172.6333,1650666962
74,victoria,HK,77.38,91,10,3.0,22.2855,114.1577,1650666963
75,souillac,MU,75.58,69,40,14.97,-20.5167,57.5167,1650666964
76,jamestown,US,54.01,42,0,11.5,42.097,-79.2353,1650666943
77,ahipara,NZ,65.52,58,74,16.13,-35.1667,173.1667,1650666923
78,havoysund,NO,34.03,76,100,15.21,70.9963,24.6622,1650666829
79,mahanoro,MG,73.35,94,100,3.94,-19.9,48.8,1650667008
80,manuk mangkaw,PH,82.63,73,75,2.62,4.8,119.85,1650667008
81,airai,TL,63.23,74,71,2.64,-8.9266,125.4092,1650666930
82,kadyy,RU,38.53,67,11,3.58,57.787,43.1903,1650667009
83,hobart,AU,49.26,83,20,10.36,-42.8794,147.3294,1650666936
84,saint-philippe,RE,76.59,83,88,16.82,-21.3585,55.7679,1650666789
85,shache,CN,66.6,33,100,4.29,38.4167,77.2406,1650667010
86,rocha,UY,53.78,91,100,7.54,-34.4833,-54.3333,1650666987
87,khatanga,RU,-0.8,96,81,6.91,71.9667,102.5,1650666949
88,puerto ayora,EC,75.16,86,48,8.93,-0.7393,-90.3518,1650666754
89,sept-iles,CA,45.12,57,40,11.5,50.2001,-66.3821,1650666927
90,tuy hoa,VN,75.16,87,24,3.27,13.0833,109.3,1650667011
91,salalah,OM,82.49,78,20,3.44,17.0151,54.0924,1650666926
92,hami,CN,62.91,19,92,9.71,42.8,93.45,1650666916
93,likasi,CD,64.47,89,99,2.89,-10.9814,26.7333,1650667012
94,chicla,PE,44.37,94,100,5.97,-11.705,-76.2686,1650667012
95,waspan,NI,81.46,70,97,6.22,14.7419,-83.9717,1650667013
96,nanyamba,TZ,69.84,96,78,2.66,-10.6833,39.8333,1650667013
97,maneadero,MX,60.6,61,63,17.65,31.7167,-116.5667,1650667013
98,lebu,CL,54.9,90,79,8.63,-37.6167,-73.65,1650667014
99,saint-augustin,CA,33.15,100,100,4.54,51.226,-58.6502,1650666843
100,pandan,PH,80.38,84,18,10.0,14.0453,124.1694,1650667014
101,morondava,MG,75.47,89,98,0.6,-20.2833,44.2833,1650667015
102,torbay,CA,43.57,50,100,8.05,47.6666,-52.7314,1650667015
103,loubomo,CG,72.05,98,100,3.85,-4.1997,12.6739,1650667015
104,aktau,KZ,50.58,73,11,11.23,43.65,51.2,1650667016
105,fortuna,US,61.86,68,75,11.5,40.5982,-124.1573,1650667016
106,clarksdale,US,84.18,42,0,12.66,34.2001,-90.5709,1650666847
107,atuona,PF,79.07,75,35,12.3,-9.8,-139.0333,1650666757
108,isangel,VU,80.92,62,80,11.03,-19.55,169.2667,1650667017
109,cherskiy,RU,23.23,89,99,7.45,68.75,161.3,1650666874
110,sakakah,SA,76.57,14,70,15.7,29.9697,40.2064,1650667017
111,bethanien,NA,69.26,40,71,3.47,-26.502,17.1583,1650667018
112,koutiala,ML,93.79,13,100,5.99,12.3917,-5.4642,1650667018
113,thompson,CA,44.76,24,20,6.91,55.7435,-97.8558,1650666746
114,saint-pierre,RE,76.68,76,0,26.46,-21.3393,55.4781,1650666967
115,red bank,US,70.14,30,0,12.66,40.3471,-74.0643,1650667019
116,bredasdorp,ZA,56.89,61,81,6.76,-34.5322,20.0403,1650666914
117,vaini,TO,82.56,69,20,3.44,-21.2,-175.2,1650666940
118,lompoc,US,65.01,66,75,19.57,34.6391,-120.4579,1650666916
119,upernavik,GL,4.51,95,70,2.48,72.7868,-56.1549,1650666966
120,peniche,PT,51.12,81,100,20.65,39.3558,-9.3811,1650667020
121,talavera de la reina,ES,44.08,94,100,12.1,39.9635,-4.8308,1650667020
122,ajdabiya,LY,67.01,64,95,12.82,30.7554,20.2263,1650667020
123,sulina,RO,50.67,80,100,12.1,45.1559,29.6536,1650667021
124,san andres,CO,86.02,66,40,8.05,12.5847,-81.7006,1650667021
125,bambari,CF,74.32,83,100,2.66,5.768,20.6757,1650667022
126,priyutnoye,RU,44.53,84,7,11.48,46.1011,43.5072,1650667022
127,mana,GF,75.51,90,100,6.15,5.6592,-53.7767,1650667022
128,dingle,PH,79.36,86,42,8.08,10.9995,122.6711,1650666933
129,port lincoln,AU,60.17,67,100,15.01,-34.7333,135.8667,1650667023
130,rio gallegos,AR,48.25,57,0,14.97,-51.6226,-69.2181,1650667023
131,flinders,AU,64.18,91,82,5.01,-34.5833,150.8552,1650666901
132,chuy,UY,54.72,95,100,6.02,-33.6971,-53.4616,1650666959
133,tanete,ID,76.6,91,100,2.86,-3.9443,119.7848,1650667024
134,gwadar,PK,78.53,85,0,4.34,25.1216,62.3254,1650667024
135,berlevag,NO,35.6,85,99,14.43,70.8578,29.0864,1650667025
136,bilma,NE,89.38,11,3,6.29,18.6853,12.9164,1650667025
137,taoudenni,ML,80.49,8,74,9.75,22.6783,-3.9836,1650666778
138,honiara,SB,82.58,82,75,4.41,-9.4333,159.95,1650666925
139,poli,TZ,60.69,96,98,3.29,-3.3333,36.8,1650667026
140,saskylakh,RU,-1.55,99,99,4.68,71.9167,114.0833,1650666791
141,bambous virieux,MU,76.21,69,40,14.97,-20.3428,57.7575,1650666933
142,pevek,RU,11.86,93,87,5.5,69.7008,170.3133,1650666928
143,zhigansk,RU,13.96,95,99,10.67,66.7697,123.3711,1650666793
144,morales,CO,61.61,96,85,1.9,2.757,-76.6172,1650667027
145,port alfred,ZA,59.18,95,100,5.01,-33.5906,26.891,1650666927
146,alta floresta,BR,72.66,95,78,2.91,-9.8756,-56.0861,1650667028
147,virginia beach,US,73.45,57,40,9.22,36.8529,-75.978,1650666946
148,half moon bay,US,65.53,100,40,19.57,37.4636,-122.4286,1650666935
149,nanortalik,GL,34.77,99,100,6.55,60.1432,-45.2371,1650666913
150,traverse city,US,57.83,53,100,9.22,44.7631,-85.6206,1650666759
151,takoradi,GH,80.76,86,22,10.11,4.8845,-1.7554,1650667029
152,oksfjord,NO,36.0,93,98,6.26,70.2396,22.3479,1650666824
153,klaksvik,FO,41.92,81,89,19.01,62.2266,-6.589,1650666746
154,gat,IL,70.39,100,96,2.62,31.61,34.7642,1650667030
155,carauari,BR,74.82,96,91,2.26,-4.8828,-66.8958,1650667030
156,brae,GB,45.19,79,76,20.45,60.3964,-1.353,1650667030
157,ornskoldsvik,SE,40.15,75,100,4.61,63.2909,18.7153,1650667031
158,guerrero negro,MX,66.51,61,26,25.21,27.9769,-114.0611,1650667031
159,beachwood,US,61.93,58,40,12.66,41.4645,-81.5087,1650667032
160,bayir,TR,48.72,46,52,3.51,37.2687,28.2167,1650667032
161,sun valley,US,52.59,38,75,13.0,39.5963,-119.776,1650667032
162,fez,MA,57.45,76,75,8.05,34.0372,-4.9998,1650667033
163,payo,ID,73.72,100,100,1.68,-3.7508,103.6372,1650667033
164,hayden,US,61.48,36,0,12.66,47.766,-116.7866,1650666744
165,sao felix do xingu,BR,73.69,89,86,0.69,-6.6447,-51.995,1650667034
166,narsaq,GL,44.82,92,100,3.76,60.9167,-46.05,1650667034
167,strezhevoy,RU,16.2,93,100,13.09,60.7333,77.5889,1650667035
168,poum,NC,77.23,68,60,8.03,-20.2333,164.0167,1650667035
169,san patricio,US,84.18,67,3,21.79,28.017,-97.5169,1650666926
170,komsomolskiy,UZ,57.92,58,7,6.91,40.4272,71.7189,1650667036
171,chapais,CA,29.98,73,94,10.02,49.7834,-74.8492,1650667036
172,hasaki,JP,66.29,81,100,4.05,35.7333,140.8333,1650666812
173,lavrentiya,RU,31.12,78,9,3.2,65.5833,-171.0,1650666894
174,verkhoyansk,RU,19.33,90,98,4.47,67.5447,133.385,1650666923
175,thunder bay,CA,37.29,80,100,17.27,48.4001,-89.3168,1650667037
176,huadian,CN,48.47,37,1,5.28,42.9633,126.7478,1650667037
177,pisco,PE,66.25,82,0,18.41,-13.7,-76.2167,1650666974
178,bethel,US,64.49,25,0,10.36,41.3712,-73.414,1650667038
179,faanui,PF,79.68,73,88,8.21,-16.4833,-151.75,1650667038
180,veinticinco de mayo,AR,54.99,68,4,7.9,-35.4323,-60.1727,1650667039
181,dikson,RU,-8.25,100,100,6.17,73.5069,80.5464,1650666786
182,belyy yar,RU,27.86,56,0,4.47,53.6039,91.3903,1650667039
183,talnakh,RU,2.21,90,100,1.19,69.4865,88.3972,1650666945
184,hilo,US,85.28,78,100,3.44,19.7297,-155.09,1650666804
185,kloulklubed,PW,75.7,79,91,8.86,7.0419,134.2556,1650666911
186,yatou,CN,53.71,45,46,5.97,37.15,122.3833,1650667041
187,dali,CN,53.55,89,4,3.83,25.7,100.1833,1650667041
188,chumphon,TH,72.32,96,75,1.52,10.3333,98.8333,1650667042
189,thinadhoo,MV,84.11,75,100,12.48,0.5333,72.9333,1650667042
190,raudeberg,NO,50.67,81,67,13.29,61.9875,5.1352,1650666805
191,cururupu,BR,75.42,92,100,2.66,-1.8283,-44.8683,1650667043
192,tarakan,ID,76.5,100,20,2.3,3.3,117.6333,1650667043
193,alice springs,AU,53.15,62,93,4.61,-23.7,133.8833,1650667043
194,manaure,CO,79.56,77,98,9.24,11.7751,-72.4445,1650667044
195,petauke,ZM,62.65,97,4,5.99,-14.2426,31.3253,1650666917
196,emba,KZ,50.09,82,76,14.47,48.8264,58.1442,1650667044
197,santa cruz del norte,CU,77.67,77,34,25.99,23.1539,-81.9236,1650667045
198,beaverlodge,CA,51.15,52,70,6.22,55.2166,-119.4361,1650667045
199,nelson bay,AU,71.01,95,97,10.6,-32.7167,152.15,1650667046
200,divnomorskoye,RU,45.59,76,63,5.82,44.5011,38.1353,1650666956
201,clyde,US,52.68,66,100,11.65,41.3042,-82.9752,1650667046
202,college,US,50.32,35,75,3.44,64.8569,-147.8028,1650667047
203,savannah bight,HN,80.56,76,87,13.22,16.45,-85.85,1650667047
204,port blair,IN,80.64,94,20,2.3,11.6667,92.75,1650666767
205,ilulissat,GL,23.02,86,100,2.3,69.2167,-51.1,1650667048
206,yerbogachen,RU,19.38,86,66,5.26,61.2767,108.0108,1650667048
207,sao jose da coroa grande,BR,78.62,83,17,7.25,-8.8978,-35.1478,1650667049
208,eregli,TR,56.41,47,0,1.25,37.5133,34.0467,1650667049
209,ribeira grande,PT,58.48,66,95,13.29,38.5167,-28.7,1650666828
210,porto novo,BJ,80.06,82,100,1.92,6.4965,2.6036,1650666654
211,marsaxlokk,MT,60.08,88,0,6.91,35.8419,14.5431,1650666856
212,ancud,CL,55.22,93,100,28.72,-41.8697,-73.8203,1650667050
213,svetlaya,RU,41.99,76,100,5.57,46.5389,138.3297,1650666862
214,portland,US,63.52,60,75,11.5,45.5234,-122.6762,1650666818
215,port hardy,CA,51.98,66,75,5.75,50.6996,-127.4199,1650667051
216,shingu,JP,67.75,65,100,4.85,33.7333,135.9833,1650667051
217,ozuluama,MX,82.87,52,3,15.43,21.6667,-97.85,1650667051
218,touros,BR,79.99,80,97,11.14,-5.1989,-35.4608,1650666785
219,delaware,US,67.05,37,0,11.5,39.0004,-75.4999,1650666769
220,ponta do sol,PT,63.23,68,92,12.62,32.6667,-17.1,1650666931
221,lexington,US,82.29,50,0,8.05,37.9887,-84.4777,1650667052
222,shar,KZ,37.98,49,100,3.11,49.5886,81.0453,1650667052
223,kodiak,US,44.11,76,20,10.36,57.79,-152.4072,1650667053
224,sitka,US,51.69,46,100,17.27,57.0531,-135.33,1650666794
225,gouyave,GD,79.57,74,20,17.27,12.1646,-61.7296,1650667053
226,bagotville,AU,71.42,99,45,13.4,-28.9833,153.4167,1650667054
227,coihaique,CL,45.21,93,100,5.75,-45.5752,-72.0662,1650667054
228,olinda,BR,83.93,70,0,5.75,-8.0089,-34.8553,1650667055
229,dolores,AR,55.63,53,47,10.27,-36.3132,-57.6792,1650666810
230,port hedland,AU,75.25,31,93,5.75,-20.3167,118.5667,1650667055
231,la ronge,CA,43.05,45,40,8.05,55.1001,-105.2842,1650667056
232,amapa,BR,71.08,100,100,2.33,1.0,-52.0,1650667056
233,plettenberg bay,ZA,59.94,79,99,2.77,-34.0527,23.3716,1650667056
234,tual,ID,83.89,70,83,4.14,-5.6667,132.75,1650667057
235,wadi musa,JO,64.71,27,84,9.75,30.3222,35.4793,1650667057
236,turukhansk,RU,21.38,92,100,5.06,65.8167,87.9833,1650667058
237,itoman,JP,75.97,94,75,12.66,26.1247,127.6694,1650667058
238,terney,RU,44.98,65,77,12.24,45.0503,136.6092,1650667059
239,leningradskiy,RU,20.17,89,36,4.43,69.3833,178.4167,1650666953
240,clyde river,CA,1.63,71,0,4.61,70.4692,-68.5914,1650666973
241,fairbanks,US,50.34,34,75,3.44,64.8378,-147.7164,1650666914
242,balikpapan,ID,76.19,94,20,3.44,-1.2675,116.8289,1650666867
243,carnarvon,AU,62.67,67,0,10.36,-24.8667,113.6333,1650666952
244,maceio,BR,80.04,78,75,5.75,-9.6658,-35.7353,1650667060
245,bengkulu,ID,76.39,89,100,6.46,-3.8004,102.2655,1650666771
246,changji,CN,57.99,33,0,4.47,44.0167,87.3167,1650667060
247,severo-kurilsk,RU,38.82,100,100,6.4,50.6789,156.125,1650666770
248,high rock,BS,75.22,66,93,22.3,26.6208,-78.2833,1650667061
249,aktash,RU,14.74,80,38,4.16,50.3,87.7333,1650667061
250,mayumba,GA,77.32,91,100,2.37,-3.432,10.6554,1650667061
251,nokha,IN,77.68,17,0,4.09,27.6,73.4167,1650667062
252,cairns,AU,77.07,97,40,11.5,-16.9167,145.7667,1650667062
253,bonthe,SL,80.37,83,99,5.88,7.5264,-12.505,1650667063
254,klyuchi,RU,30.6,50,1,3.85,52.2667,79.1667,1650667063
255,te anau,NZ,54.95,67,65,7.11,-45.4167,167.7167,1650667063
256,koungou,YT,82.11,78,0,10.36,-12.7336,45.2042,1650667064
257,tilichiki,RU,24.93,85,100,3.89,60.4667,166.1,1650667064
258,ligayan,PH,83.14,72,40,1.68,4.6533,119.4706,1650667064
259,pundaguitan,PH,78.17,87,100,14.09,6.3711,126.1689,1650667065
260,salekhard,RU,-5.58,98,100,2.51,66.53,66.6019,1650667065
261,noumea,NC,80.58,99,80,11.68,-22.2763,166.4572,1650667066
262,ambilobe,MG,72.64,92,91,3.78,-13.2,49.05,1650667066
263,dzerzhinsk,RU,39.02,64,0,2.24,56.2389,43.4631,1650667066
264,buala,SB,82.69,76,85,6.08,-8.145,159.5921,1650667067
265,belmonte,BR,77.14,79,0,6.62,-15.8631,-38.8828,1650666951
266,plouzane,FR,53.65,82,98,14.97,48.3833,-4.6167,1650667067
267,douglas,US,84.07,51,75,34.52,41.3,-96.167,1650667068
268,namibe,AO,72.79,80,45,3.51,-15.1961,12.1522,1650667068
269,mogzon,RU,30.96,84,100,3.29,51.7435,111.9606,1650667068
270,huinan,CN,51.1,36,0,13.2,42.6225,126.2614,1650667069
271,korem,ET,58.24,64,98,2.71,12.5058,39.5228,1650667069
272,meulaboh,ID,77.32,91,77,2.93,4.1363,96.1285,1650667069
273,westport,US,66.29,27,0,11.5,41.1415,-73.3579,1650667070
274,nishihara,JP,75.25,94,75,12.66,26.1842,127.7558,1650667070
275,beyneu,KZ,60.73,56,74,12.44,45.3167,55.2,1650667071
276,nome,US,43.16,45,0,8.05,64.5011,-165.4064,1650667071
